2024-08-28T15:48:27+08:00
Carpark Number,Total Lots,Lots Available,Address
SD4,41,10,BLK 52 SIMS PLACE
Q68,34,10,BLK 110 COMMONWEALTH CRESCENT
PL38,10,10,BLK 612 PUNGGOL DRIVE
PL35,10,10,BLK 602 PUNGGOL CENTRAL
W7,128,11,BLK 17/21 MARSILING LANE
TBC3,106,11,BLK 3A TELOK BLANGAH CRESCENT
J66,77,11,BLK 959-961 JURONG WEST STREET 92
LT2,74,11,BLK 111-112 LENGKONG TIGA
KB18,36,11,BLK 45-48 BENDEMEER ROAD
W4,32,11,BLK 6/7 MARSILING DRIVE
J25,30,11,BLK 347/350 JURONG EAST AVENUE 1
PDR7,169,12,BLK 734 PASIR RIS ST 72
ACB,93,12,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK
SM1,89,12,BLK 22 SIN MING ROAD
PL33,48,12,BLK 621A - 621B EDGEFIELD WALK
TP68,21,12,BLK 196 KIM KEAT AVENUE
B7B,21,12,BEDOK CENTRAL
HG56,20,12,BLK 830-835 HOUGANG CENTRAL
U11,60,13,BLK 166 BUKIT BATOK WEST AVENUE 8
W37,50,13,BLK 816-821 WOODLANDS STREET 82
C18A,33,13,BLK 426/427 CLEMENTI AVENUE 3
CV2,31,13,BLK 3 CHANGI VILLAGE ROAD
T57,22,13,BLK 885A TAMPINES STREET 83
B45,67,14,BLK 537/539 BEDOK NORTH STREET 3
HG2D,36,14,BLK 581,582 AND 582A BUANGKOK GREEN
A51,35,14,BLK 252/253A ANG MO KIO STREET 21
MP16,22,14,BLK 84 TO 86 MARINE PARADE ROAD
PRS1,21,14,BLK 212A PASIR RIS STREET 21
SE52,21,14,NEXT TO BLK 226 SERANGOON AVENUE 4
P35L,20,14,PUNGGOL CENTRAL
GM2,62,15,BLK 7/8/9 GHIM MOH ROAD
Y56,45,15,BLK 926/932,934/935 YISHUN CENTRAL 1
BKE4,43,15,BLK 684/685 RACE COURSE ROAD
M38,39,15,BLK 63 TO 64 CIRCUIT ROAD
JS5L,30,15,BLK 647A JURONG WEST STREET 61
W109,22,15,BLK 764B WOODLANDS CIRCLE
H3,148,16,BLK 87 ZION ROAD
UA2,73,16,BLK 3 TO 5 UPPER ALJUNIED LANE
GM3,56,16,BLK 19/20 GHIM MOH ROAD
A8,48,16,BLK 209/210 ANG MO KIO STREET 22
CK29,26,16,BLK 276/277 CHOA CHU KANG AVENUE 2
Y20,60,17,BLK 293/294 YISHUN STREET 22
W6,57,17,BLK 15/16 MARSILING LANE
TB2,51,17,BLK 8-10 TELOK BLANGAH CRESCENT
B91,46,17,BLK 630 BEDOK RESERVOIR ROAD
HG96,39,17,BLK 108 HOUGANG AVENUE 1
BM19,36,17,BLK 88/89 REDHILL CLOSE
Q17,26,17,BLK 52 STIRLING ROAD
TB22,20,17,BLK 79/80/81 TELOK BLANGAH DRIVE
A28,81,18,BLK 103/105/107 ANG MO KIO STREET 11
A15,59,18,BLK 226E-226H ANG MO KIO STREET 22
CK24,36,18,BLK 350-351 CHOA CHU KANG CENTRAL
SE43,32,18,BLK 510 SERANGOON NORTH AVENUE 4
Y49H,27,18,BLK 419A YISHUN AVENUE 11
TP17,119,19,BLK 177 TO 179 TOA PAYOH TOWN CENTRE
CR31,87,19,BLK 632/633/635 VEERASAMY ROAD
BR9,50,19,BLK 69 MOULMEIN ROAD
SD9,41,19,BLK 114 LORONG 3 GEYLANG
Y58,41,19,162 YISHUN STREET 11
M20,36,19,BLK 65 & 80 CIRCUIT ROAD
MP15,23,19,BLK 83/87 MARINE PARADE ROAD
C5,361,20,BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2
TB11,154,20,BLK 42/43 TELOK BLANGAH RISE
FR4M,88,20,BLK 6A FARRER ROAD
SD5,64,20,BLK 53 SIMS PLACE
SM9,28,20,BLK 24A SIN MING ROAD
K7,159,21,BLK 51 OLD AIRPORT ROAD
HG44,155,21,BLK 681-684 HOUGANG AVENUE 4/8
SB34,63,21,BLK 462 SEMBAWANG DRIVE
BJ14,63,21,BLK 257 BANGKIT ROAD
B41,26,21,BLK 510 BEDOK NORTH STREET 3
PDT8,45,22,BLK 866A TAMPINES ST 83
B25,130,23,BLK 91/97 BEDOK NORTH AVENUE 4
EC4,119,23,BLK 1-3/1A EUNOS CRESCENT
HG64,82,23,BLK 682-684 HOUGANG STREET 61
TP43,114,24,BLK 19 TO 23 LORONG 7 TOA PAYOH
TP14,53,24,BLK 63/64 LORONG 5 TOA PAYOH
CK9,45,24,BLK 223-227 CHOA CHU KANG CENTRAL
CR2,33,24,BLK 3/4 BEACH ROAD
SE11,198,25,BLK 151/154 SERANGOON NORTH AVENUE 1/2
HG15,123,25,BLK 208-210 HOUGANG STREET 21
SD3,102,25,BLK 46/47/48/49 SIMS PLACE
CK19,70,25,BLK 133/134 TECK WHYE LANE
A48,58,25,BLK 571/73 ANG MO KIO STREET 51
UBK4,53,26,BLK 19/20 UPPER BOON KENG
U50,38,26,BLK 230A BUKIT BATOK ST 21 BUKIT BATOK STREET 21
BJAL,38,26,BLK 517 - 519 JELAPANG ROAD
Y1,134,27,BLK 101/102 YISHUN AVENUE 5
RC3,43,27,BLK 105/108 JALAN RAJAH
W108,71,28,BLK 302A WOODLANDS STREET 31
A88,43,28,BLK 348 ANG MO KIO AVENUE 3
B70,41,28,BLK 201 BEDOK NORTH STREET 1
SI6,39,28,BLK 132 SIMEI STREET 1
BBB,193,29,BLK 231 BRAS BASAH BASEMENT CAR PARK
TM8,50,29,BLK 316A TAMPINES STREET 33
BE29,48,29,BLK 228-231 BISHAN STREET 23
C17,46,29,BLK 442-444,442A CLEMENTI AVENUE 3
C29A,102,31,BLK 503 WEST COAST DRIVE
SK82,66,31,BLK 182 RIVERVALE CRESCENT
BE26,65,31,BLK 207/212/216/217 BISHAN STREET 23
TBMT,150,32,BLK 80 TELOK BLANGAH STREET 31
MP17,87,32,BLK 51 MARINE TERRACE
TP12,82,32,BLK 71/72 LORONG 5 TOA PAYOH
PL44,55,32,BLK 206A PUNGGOL PLACE
B73,50,32,BLK 651A JALAN TENAGA
Q65,103,33,BLK 115A COMMONWEALTH DRIVE
U63,83,33,BLK 377A BUKIT BATOK STREET 31
CKT2,81,33,BLK 302 CHOA CHU KANG LOOP
LBM,169,34,BLK 64 LENGKOK BAHRU
JSA1,63,34,BLK 499 JURONG WEST STREET 41
LT3,244,35,BLK 101-109 LENGKONG TIGA
BJ62,68,35,BLK 454 FAJAR ROAD
Q16,52,35,BLK 45 AND 50 STIRLING ROAD
B42,123,36,BLK 509/511 BEDOK NORTH STREET 3
HR1,78,36,BLK 1-3 HAIG ROAD
BM20,60,36,BLK 89/90 REDHILL CLOSE
P11,49,36,BLK 416 PANDAN GARDENS
SE37,85,37,BLK 519 SERANGOON NORTH AVENUE 4
WDB1,75,37,BLK 104 WHAMPOA DRIVE
J74M,72,37,BLK 712B JURONG WEST ST 71 JURONG WEST STREET 71
YHS,64,37,BLK 11/12/13 YORK HILL CAR PARK
A10,63,37,BLK 201/202 ANG MO KIO STREET 22
TB3,154,38,BLK 12/22 TELOK BLANGAH CRESCENT
STM1,148,39,BLK 169A STIRLING ROAD
S117,168,40,
BR14,78,40,BLK 20 JALAN TENTERAM
TB18,71,40,BLK 72/74/84 TELOK BLANGAH DRIVE
BR12,57,40,BLKS 34/35 JALAN BAHAGIA
TB4A,46,40,BLK 18 & 19 TELOK BLANGAH CRESCENT
A81,118,41,BLK 170/172 ANG MO KIO STREET 13
HE19,93,41,#NAME?
C36,86,41,BLK 728/729 CLEMENTI WEST STREET 2
W799,76,41,BLK 799 WOODLANDS DRIVE 60
HR5,91,42,BLK 21 TO 23 HAIG ROAD
